MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Run1(ms),Run2(ms),Run3(ms),Run4(ms)
16,16,16,8,8,8,8,2,1,1,0,0,0,0,115.26,115.87,118.55,115.8
16,16,16,8,8,8,8,2,1,1,0,0,0,1,78.13,78.25,79.25,79.19
16,16,16,8,8,8,8,2,1,1,0,0,1,0,79.84,80.69,80.76,80.97
16,16,16,8,8,8,8,2,1,1,0,0,1,1,84.32,89.9,86.75,85.58
16,16,16,8,8,8,8,2,1,1,0,1,0,0,115.13,121.98,122.73,114.81
16,16,16,8,8,8,8,2,1,1,0,1,0,1,81.1,82.41,87.01,82.14
16,16,16,8,8,8,8,2,1,1,0,1,1,0,83.31,82.86,88.6,82.97
16,16,16,8,8,8,8,2,1,1,0,1,1,1,93.13,94.3,96.19,94.43
16,16,16,8,8,8,8,2,1,1,1,0,0,0,117.38,116.95,124.15,117.83
16,16,16,8,8,8,8,2,1,1,1,0,0,1,85.76,85.3,86.96,87.19
16,16,16,8,8,8,8,2,1,1,1,0,1,0,83.48,83.46,84.44,84.38
16,16,16,8,8,8,8,2,1,1,1,0,1,1,87.08,85.97,87.09,87.23
16,16,16,8,8,8,8,2,1,1,1,1,0,0,118.71,117.23,118.61,118.55
16,16,16,8,8,8,8,2,1,1,1,1,0,1,91.28,92.42,92.42,93.4
16,16,16,8,8,8,8,2,1,1,1,1,1,0,85.89,85.37,86.58,86.83
16,16,16,8,8,8,8,2,1,1,1,1,1,1,105.16,105.95,106.29,106.58
16,16,16,8,8,8,8,2,1,2,0,0,0,0,76.79,76.73,77.86,77.84
16,16,16,8,8,8,8,2,1,2,0,0,0,1,64.64,64.23,65.77,65.83
16,16,16,8,8,8,8,2,1,2,0,0,1,0,71.62,71.55,72.51,72.6
16,16,16,8,8,8,8,2,1,2,0,0,1,1,64.21,63.26,63.7,64.39
16,16,16,8,8,8,8,2,1,2,0,1,0,0,76.78,76.71,77.83,77.79
16,16,16,8,8,8,8,2,1,2,0,1,0,1,65.37,64.81,65.77,65.78
16,16,16,8,8,8,8,2,1,2,0,1,1,0,70.0,70.0,71.09,71.05
16,16,16,8,8,8,8,2,1,2,0,1,1,1,62.69,62.68,64.09,63.27
16,16,16,8,8,8,8,2,1,2,1,0,0,0,78.74,78.42,79.78,79.82
16,16,16,8,8,8,8,2,1,2,1,0,0,1,70.46,69.84,69.69,70.93
16,16,16,8,8,8,8,2,1,2,1,0,1,0,75.4,74.62,75.99,75.84
16,16,16,8,8,8,8,2,1,2,1,0,1,1,76.73,74.15,76.63,74.84
16,16,16,8,8,8,8,2,1,2,1,1,0,0,78.91,78.64,79.78,79.8
16,16,16,8,8,8,8,2,1,2,1,1,0,1,69.74,69.29,70.46,69.79
16,16,16,8,8,8,8,2,1,2,1,1,1,0,73.58,73.33,74.58,74.82
16,16,16,8,8,8,8,2,1,2,1,1,1,1,75.3,74.06,76.74,77.7
16,16,16,8,8,8,8,2,2,1,0,0,0,0,72.45,72.58,73.35,76.92
16,16,16,8,8,8,8,2,2,1,0,0,0,1,69.36,69.24,70.55,75.21
16,16,16,8,8,8,8,2,2,1,0,0,1,0,60.26,59.86,62.9,68.01
16,16,16,8,8,8,8,2,2,1,0,0,1,1,62.39,60.31,63.33,64.91
16,16,16,8,8,8,8,2,2,1,0,1,0,0,74.61,74.52,75.89,79.59
16,16,16,8,8,8,8,2,2,1,0,1,0,1,72.82,72.71,73.88,77.96
16,16,16,8,8,8,8,2,2,1,0,1,1,0,63.68,63.1,64.26,67.56
